id,series,subject,grade,term,year,publisher,type,title,pages,paper_count,unit_price,no_cover_price,has_cover,companion_of,file
1,التأسيس,رياضيات,1,1,2027,المتميزون,كتاب,التأسيس - رياضيات - الصف الأول الابتدائي - الترم الأول - 2027 - المتميزون - الصف الاول الابتدائي الصف الاول الابتدائي الصف الاول الابتدائي.pdf,242,121,98.65,78.65,True,,library\Grade_01\التأسيس - رياضيات - الصف الأول الابتدائي - الترم الأول - 2027 - المتميزون - الصف الاول الابتدائي الصف الاول الابتدائي.pdf
2,,,1,1,2027,المتميزون,كتاب,الصف الأول الابتدائي - الترم الأول - 2027 - المتميزون - الصف الاول الابتدائي الصف الاول الابتدائي الصف الاول الابتدائي سندباد رياضه.pdf,288,144,113.6,93.6,True,,library\Grade_01\الصف الأول الابتدائي - الترم الأول - 2027 - المتميزون - الصف الاول الابتدائي الصف الاول الابتدائي سندباد رياضه.pdf
3,,رياضيات,1,1,2027,المتميزون,كتاب,رياضيات - الصف الأول الابتدائي - الترم الأول - 2027 - المتميزون - الصف الاول الابتدائي الصف الاول الابتدائي الصف الاول الابتدائي الابرار.pdf,301,150,117.5,97.5,True,,library\Grade_01\رياضيات - الصف الأول الابتدائي - الترم الأول - 2027 - المتميزون - الصف الاول الابتدائي الصف الاول الابتدائي الابرار.pdf
4,,رياضيات,1,1,2027,المتميزون,كتاب,رياضيات - الصف الأول الابتدائي - الترم الأول - 2027 - المتميزون - الصف الاول الابتدائي الصف الاول الابتدائي الصف الاول الابتدائي قطر.pdf,226,113,93.45,73.45,True,,library\Grade_01\رياضيات - الصف الأول الابتدائي - الترم الأول - 2027 - المتميزون - الصف الاول الابتدائي الصف الاول الابتدائي قطر.pdf
5,سلاح التلميذ,,1,1,2027,المتميزون,كتاب,سلاح التلميذ - الصف الأول الابتدائي - الترم الأول - 2027 - المتميزون - الصف الاول الابتدائي الصف الاول الابتدائي الصف الاول الابتدائي دين 1.pdf,114,57,57.05,37.05,True,,library\Grade_01\سلاح التلميذ - الصف الأول الابتدائي - الترم الأول - 2027 - المتميزون - الصف الاول الابتدائي الصف الاول الابتدائي دين 1.pdf
6,سلاح التلميذ,انجليزي,1,1,2027,المتميزون,كتاب,سلاح التلميذ - انجليزي - الصف الأول الابتدائي - الترم الأول - 2027 - المتميزون - الصف الاول الابتدائي الصف الاول الابتدائي الصف الاول الابتدائي.pdf,274,137,109.05,89.05,True,,library\Grade_01\سلاح التلميذ - انجليزي - الصف الأول الابتدائي - الترم الأول - 2027 - المتميزون - الصف الاول الابتدائي الصف الاول الابتدائي.pdf
7,سلاح التلميذ,رياضيات,1,1,2027,المتميزون,كتاب,سلاح التلميذ - رياضيات - الصف الأول الابتدائي - الترم الأول - 2027 - المتميزون - الصف الاول الابتدائي الصف الاول الابتدائي الصف الاول الابتدائي.pdf,290,145,114.25,94.25,True,,library\Grade_01\سلاح التلميذ - رياضيات - الصف الأول الابتدائي - الترم الأول - 2027 - المتميزون - الصف الاول الابتدائي الصف الاول الابتدائي.pdf
8,,عربي,1,1,2027,المتميزون,كتاب,عربي - الصف الأول الابتدائي - الترم الأول - 2027 - المتميزون - الصف الاول الابتدائي الصف الاول الابتدائي الصف الاول الابتدائي الابرار.pdf,276,138,109.7,89.7,True,,library\Grade_01\عربي - الصف الأول الابتدائي - الترم الأول - 2027 - المتميزون - الصف الاول الابتدائي الصف الاول الابتدائي الابرار.pdf
9,,عربي,1,1,2027,المتميزون,كتاب,عربي - الصف الأول الابتدائي - الترم الأول - 2027 - المتميزون - الصف الاول الابتدائي الصف الاول الابتدائي الصف الاول الابتدائي الاستاذ.pdf,337,168,129.2,109.2,True,,library\Grade_01\عربي - الصف الأول الابتدائي - الترم الأول - 2027 - المتميزون - الصف الاول الابتدائي الصف الاول الابتدائي الاستاذ.pdf
10,,عربي,1,1,2027,المتميزون,كتاب,عربي - الصف الأول الابتدائي - الترم الأول - 2027 - المتميزون - الصف الاول الابتدائي الصف الاول الابتدائي الصف الاول الابتدائي سندباد.pdf,304,152,118.8,98.8,True,,library\Grade_01\عربي - الصف الأول الابتدائي - الترم الأول - 2027 - المتميزون - الصف الاول الابتدائي الصف الاول الابتدائي سندباد.pdf
